,Pclass,Sex,Age,Fare,Embarked,FamilyCount,Title,Has Cabin,IsAlone,Survived
303,2,1,29.69911764705882,12.35,1,0,2,1,0,1
870,3,0,26.0,7.8958,0,0,1,0,0,0
716,1,1,38.0,227.525,2,0,2,1,0,1
376,3,1,22.0,7.25,0,0,2,0,0,1
672,2,0,70.0,10.5,0,0,1,0,0,0
730,1,1,29.0,211.3375,0,0,2,1,0,1
699,3,0,42.0,7.65,0,0,1,1,0,0
467,1,0,56.0,26.55,0,0,1,0,0,0
272,2,1,41.0,19.5,0,1,3,0,1,1
810,3,0,26.0,7.8875,0,0,1,0,0,0
706,2,1,45.0,13.5,0,0,3,0,0,1
582,2,0,54.0,26.0,0,0,1,0,0,0
192,3,1,19.0,7.8542,0,1,2,0,1,1
653,3,1,29.69911764705882,7.8292,1,0,2,0,0,1
127,3,0,24.0,7.1417,0,0,1,0,0,1
307,1,1,17.0,108.9,2,1,3,1,1,1
321,3,0,27.0,7.8958,0,0,1,0,0,0
168,1,0,29.69911764705882,25.925,0,0,1,0,0,0
760,3,0,29.69911764705882,14.5,0,0,1,0,0,0
844,3,0,17.0,8.6625,0,0,1,0,0,0
66,2,1,29.0,10.5,0,0,3,1,0,1
474,3,1,22.0,9.8375,0,0,2,0,0,0
506,2,1,33.0,26.0,0,2,3,0,1,1
570,2,0,62.0,10.5,0,0,1,0,0,1
57,3,0,28.5,7.2292,2,0,1,0,0,0
717,2,1,27.0,10.5,0,0,2,1,0,1
558,1,1,39.0,79.65,0,2,3,1,1,1
21,2,0,34.0,13.0,0,0,1,1,0,1
236,2,0,44.0,26.0,0,1,1,0,1,0
191,2,0,19.0,13.0,0,0,1,0,0,0
365,3,0,30.0,7.25,0,0,1,0,0,0
544,1,0,50.0,106.425,2,1,1,1,1,0
102,1,0,21.0,77.2875,0,1,1,1,1,0
541,3,1,9.0,31.275,0,6,2,0,1,0
863,3,1,29.69911764705882,69.55,0,10,2,0,1,0
165,3,0,9.0,20.525,0,2,4,0,1,1
171,3,0,4.0,29.125,1,5,4,0,1,0
367,3,1,29.69911764705882,7.2292,2,0,3,0,0,1
483,3,1,63.0,9.5875,0,0,3,0,0,1
326,3,0,61.0,6.2375,0,0,1,0,0,0
867,1,0,31.0,50.4958,0,0,1,1,0,0
418,2,0,30.0,13.0,0,0,1,0,0,0
718,3,0,29.69911764705882,15.5,1,0,1,0,0,0
319,1,1,40.0,134.5,2,2,3,1,1,1
161,2,1,40.0,15.75,0,0,3,0,0,1
296,3,0,23.5,7.2292,2,0,1,0,0,0
354,3,0,29.69911764705882,7.225,2,0,1,0,0,0
11,1,1,58.0,26.55,0,0,2,1,0,1
397,2,0,46.0,26.0,0,0,1,0,0,0
490,3,0,29.69911764705882,19.9667,0,1,1,0,1,0
587,1,0,60.0,79.2,2,2,1,1,1,1
712,1,0,48.0,52.0,0,1,1,1,1,1
308,2,0,30.0,24.0,2,1,1,0,1,0
417,2,1,18.0,13.0,0,2,2,0,1,1
259,2,1,50.0,26.0,0,1,3,0,1,1
792,3,1,29.69911764705882,69.55,0,10,2,0,1,0
533,3,1,29.69911764705882,22.3583,2,2,3,0,1,1
225,3,0,22.0,9.35,0,0,1,0,0,0
823,3,1,27.0,12.475,0,1,3,1,1,1
416,2,1,34.0,32.5,0,2,3,0,1,1
799,3,1,30.0,24.15,0,2,3,0,1,0
95,3,0,29.69911764705882,8.05,0,0,1,0,0,0
234,2,0,24.0,10.5,0,0,1,0,0,0
834,3,0,18.0,8.3,0,0,1,0,0,0
503,3,1,37.0,9.5875,0,0,2,0,0,0
423,3,1,28.0,14.4,0,2,3,0,1,0
858,3,1,24.0,19.2583,2,3,3,0,1,1
722,2,0,34.0,13.0,0,0,1,0,0,0
89,3,0,24.0,8.05,0,0,1,0,0,0
125,3,0,12.0,11.2417,2,1,4,0,1,1
330,3,1,29.69911764705882,23.25,1,2,2,0,1,1
281,3,0,28.0,7.8542,0,0,1,0,0,0
337,1,1,41.0,134.5,2,0,2,1,0,1
58,2,1,5.0,27.75,0,3,2,0,1,1
460,1,0,48.0,26.55,0,0,1,1,0,1
45,3,0,29.69911764705882,8.05,0,0,1,0,0,0
481,2,0,29.69911764705882,0.0,0,0,1,0,0,0
528,3,0,39.0,7.925,0,0,1,0,0,0
860,3,0,41.0,14.1083,0,2,1,0,1,0
32,3,1,29.69911764705882,7.75,1,0,2,0,0,1
232,2,0,59.0,13.5,0,0,1,0,0,0
456,1,0,65.0,26.55,0,0,1,1,0,0
652,3,0,21.0,8.4333,0,0,1,0,0,0
193,2,0,3.0,26.0,0,2,4,1,1,1
228,2,0,18.0,13.0,0,0,1,0,0,0
394,3,1,24.0,16.7,0,2,3,1,1,1
170,1,0,61.0,33.5,0,0,1,1,0,0
853,1,1,16.0,39.4,0,1,2,1,1,1
182,3,0,9.0,31.3875,0,6,4,0,1,0
593,3,1,29.69911764705882,7.75,1,2,2,0,1,0
618,2,1,4.0,39.0,0,3,2,1,1,1
621,1,0,42.0,52.5542,0,1,1,1,1,1
210,3,0,24.0,7.05,0,0,1,0,0,0
293,3,1,24.0,8.85,0,0,2,0,0,0
869,3,0,4.0,11.1333,0,2,4,0,1,1
579,3,0,32.0,7.925,0,0,1,0,0,1
879,1,1,56.0,83.1583,2,1,3,1,1,1
516,2,1,34.0,10.5,0,0,3,1,0,1
441,3,0,20.0,9.5,0,0,1,0,0,0
763,1,1,36.0,120.0,0,3,3,1,1,1
453,1,0,49.0,89.1042,2,1,1,1,1,1
478,3,0,22.0,7.5208,0,0,1,0,0,0
4,3,0,35.0,8.05,0,0,1,0,0,0
427,2,1,19.0,26.0,0,0,2,0,0,1
91,3,0,20.0,7.8542,0,0,1,0,0,0
403,3,0,28.0,15.85,0,1,1,0,1,0
607,1,0,27.0,30.5,0,0,1,0,0,1
601,3,0,29.69911764705882,7.8958,0,0,1,0,0,0
471,3,0,38.0,8.6625,0,0,1,0,0,0
231,3,0,29.0,7.775,0,0,1,0,0,0
379,3,0,19.0,7.775,0,0,1,0,0,0
723,2,0,50.0,13.0,0,0,1,0,0,0
561,3,0,40.0,7.8958,0,0,1,0,0,0
278,3,0,7.0,29.125,1,5,4,0,1,0
86,3,0,16.0,34.375,0,4,1,0,1,0
691,3,1,4.0,13.4167,2,1,2,0,1,1
674,2,0,29.69911764705882,0.0,0,0,1,0,0,0
755,2,0,0.67,14.5,0,2,4,0,1,1
374,3,1,3.0,21.075,0,4,2,0,1,0
237,2,1,8.0,26.25,0,2,2,0,1,1
592,3,0,47.0,7.25,0,0,1,0,0,0
230,1,1,35.0,83.475,0,1,3,1,1,1
286,3,0,30.0,9.5,0,0,1,0,0,1
832,3,0,29.69911764705882,7.2292,2,0,1,0,0,0
872,1,0,33.0,5.0,0,0,1,1,0,0
715,3,0,19.0,7.65,0,0,1,1,0,0
631,3,0,51.0,7.0542,0,0,1,0,0,0
614,3,0,35.0,8.05,0,0,1,0,0,0
44,3,1,19.0,7.8792,1,0,2,0,0,1
425,3,0,29.69911764705882,7.25,0,0,1,0,0,0
787,3,0,8.0,29.125,1,5,4,0,1,0
745,1,0,70.0,71.0,0,2,5,1,1,0
667,3,0,29.69911764705882,7.775,0,0,1,0,0,0
162,3,0,26.0,7.775,0,0,1,0,0,0
399,2,1,28.0,12.65,0,0,3,0,0,1
158,3,0,29.69911764705882,8.6625,0,0,1,0,0,0
324,3,0,29.69911764705882,69.55,0,10,1,0,1,0
10,3,1,4.0,16.7,0,2,2,1,1,1
219,2,0,30.0,10.5,0,0,1,0,0,0
18,3,1,31.0,18.0,0,1,3,0,1,0
352,3,0,15.0,7.2292,2,2,1,0,1,0
273,1,0,37.0,29.7,2,1,1,1,1,0
461,3,0,34.0,8.05,0,0,1,0,0,0
62,1,0,45.0,83.475,0,1,1,1,1,0
771,3,0,48.0,7.8542,0,0,1,0,0,0
476,2,0,34.0,21.0,0,1,1,0,1,0
854,2,1,44.0,26.0,0,1,3,0,1,0
679,1,0,36.0,512.3292,2,1,1,1,1,1
573,3,1,29.69911764705882,7.75,1,0,2,0,0,1
591,1,1,52.0,78.2667,2,1,3,1,1,1
531,3,0,29.69911764705882,7.2292,2,0,1,0,0,0
840,3,0,20.0,7.925,0,0,1,0,0,0
412,1,1,33.0,90.0,1,1,2,1,1,1
778,3,0,29.69911764705882,7.7375,1,0,1,0,0,0
776,3,0,29.69911764705882,7.75,1,0,1,1,0,0
246,3,1,25.0,7.775,0,0,2,0,0,0
256,1,1,29.69911764705882,79.2,2,0,3,0,0,1
43,2,1,3.0,41.5792,2,3,2,0,1,1
93,3,0,26.0,20.575,0,3,1,0,1,0
104,3,0,37.0,7.925,0,2,1,0,1,0
442,3,0,25.0,7.775,0,1,1,0,1,0
132,3,1,47.0,14.5,0,1,3,0,1,0
750,2,1,4.0,23.0,0,2,2,0,1,1
263,1,0,40.0,0.0,0,0,1,1,0,0
309,1,1,30.0,56.9292,2,0,2,1,0,1
270,1,0,29.69911764705882,31.0,0,0,1,0,0,0
765,1,1,51.0,77.9583,0,1,3,1,1,1
114,3,1,17.0,14.4583,2,0,2,0,0,0
306,1,1,29.69911764705882,110.8833,2,0,2,0,0,1
741,1,0,36.0,78.85,0,1,1,1,1,0
359,3,1,29.69911764705882,7.8792,1,0,2,0,0,1
689,1,1,15.0,211.3375,0,1,2,1,1,1
346,2,1,40.0,13.0,0,0,2,0,0,1
526,2,1,50.0,10.5,0,0,2,0,0,1
325,1,1,36.0,135.6333,2,0,2,1,0,1
266,3,0,16.0,39.6875,0,5,1,0,1,0
317,2,0,54.0,14.0,0,0,5,0,0,0
391,3,0,21.0,7.7958,0,0,1,0,0,1
76,3,0,29.69911764705882,7.8958,0,0,1,0,0,0
109,3,1,29.69911764705882,24.15,1,1,2,0,1,1
362,3,1,45.0,14.4542,2,1,3,0,1,0
586,2,0,47.0,15.0,0,0,1,0,0,0
103,3,0,33.0,8.6542,0,0,1,0,0,0
131,3,0,20.0,7.05,0,0,1,0,0,0
668,3,0,43.0,8.05,0,0,1,0,0,0
651,2,1,18.0,23.0,0,1,2,0,1,1
283,3,0,19.0,8.05,0,0,1,0,0,1
756,3,0,28.0,7.7958,0,0,1,0,0,0
339,1,0,45.0,35.5,0,0,1,1,0,0
297,1,1,2.0,151.55,0,3,2,1,1,0
136,1,1,19.0,26.2833,0,2,2,1,1,1
37,3,0,21.0,8.05,0,0,1,0,0,0
137,1,0,37.0,53.1,0,1,1,1,1,0
626,2,0,57.0,12.35,1,0,5,0,0,0
552,3,0,29.69911764705882,7.8292,1,0,1,0,0,0
688,3,0,18.0,7.7958,0,0,1,0,0,0
660,1,0,50.0,133.65,0,2,5,0,1,1
377,1,0,27.0,211.5,2,2,1,1,1,0
438,1,0,64.0,263.0,0,5,1,1,1,0
683,3,0,14.0,46.9,0,7,1,0,1,0
520,1,1,30.0,93.5,0,0,2,1,0,1
875,3,1,15.0,7.225,2,0,2,0,0,1
728,2,0,25.0,26.0,0,1,1,0,1,0
800,2,0,34.0,13.0,0,0,1,0,0,0
123,2,1,32.5,13.0,0,0,2,1,0,1
698,1,0,49.0,110.8833,2,2,1,1,1,0
511,3,0,29.69911764705882,8.05,0,0,1,0,0,0
675,3,0,18.0,7.775,0,0,1,0,0,0
538,3,0,29.69911764705882,14.5,0,0,1,0,0,0
164,3,0,1.0,39.6875,0,5,4,0,1,0
54,1,0,65.0,61.9792,2,1,1,1,1,0
431,3,1,29.69911764705882,16.1,0,1,3,0,1,1
310,1,1,24.0,83.1583,2,0,2,1,0,1
523,1,1,44.0,57.9792,2,1,3,1,1,1
524,3,0,29.69911764705882,7.2292,2,0,1,0,0,0
48,3,0,29.69911764705882,21.6792,2,2,1,0,1,0
172,3,1,1.0,11.1333,0,2,2,0,1,1
494,3,0,21.0,8.05,0,0,1,0,0,0
820,1,1,52.0,93.5,0,2,3,1,1,1
340,2,0,2.0,26.0,0,2,4,1,1,1
517,3,0,29.69911764705882,24.15,1,0,1,0,0,0
408,3,0,21.0,7.775,0,0,1,0,0,0
304,3,0,29.69911764705882,8.05,0,0,1,0,0,0
647,1,0,56.0,35.5,2,0,5,1,0,1
312,2,1,26.0,26.0,0,2,3,0,1,0
779,1,1,43.0,211.3375,0,1,3,1,1,1
434,1,0,50.0,55.9,0,1,1,1,1,0
502,3,1,29.69911764705882,7.6292,1,0,2,0,0,0
68,3,1,17.0,7.925,0,6,2,0,1,1
445,1,0,4.0,81.8583,0,2,4,1,1,1
163,3,0,17.0,8.6625,0,0,1,0,0,0
749,3,0,31.0,7.75,1,0,1,0,0,0
762,3,0,20.0,7.2292,2,0,1,0,0,1
457,1,1,29.69911764705882,51.8625,0,1,3,1,1,1
335,3,0,29.69911764705882,7.8958,0,0,1,0,0,0
480,3,0,9.0,46.9,0,7,4,0,1,0
110,1,0,47.0,52.0,0,0,1,1,0,0
5,3,0,29.69911764705882,8.4583,1,0,1,0,0,0
806,1,0,39.0,0.0,0,0,1,1,0,0
628,3,0,26.0,7.8958,0,0,1,0,0,0
432,2,1,42.0,26.0,0,1,3,0,1,1
549,2,0,8.0,36.75,0,2,4,0,1,1
344,2,0,36.0,13.0,0,0,1,0,0,0
846,3,0,29.69911764705882,69.55,0,10,1,0,1,0
553,3,0,22.0,7.225,2,0,1,0,0,1
184,3,1,4.0,22.025,0,2,2,0,1,1
489,3,0,9.0,15.9,0,2,4,0,1,1
197,3,0,42.0,8.4042,0,1,1,0,1,0
80,3,0,22.0,9.0,0,0,1,0,0,0
567,3,1,29.0,21.075,0,4,3,0,1,0
177,1,1,50.0,28.7125,2,0,2,1,0,0
429,3,0,32.0,8.05,0,0,1,1,0,1
581,1,1,39.0,110.8833,2,2,3,1,1,1
33,2,0,66.0,10.5,0,0,1,0,0,0
358,3,1,29.69911764705882,7.8792,1,0,2,0,0,1
9,2,1,14.0,30.0708,2,1,3,0,1,1
361,2,0,29.0,27.7208,2,1,1,0,1,0
661,3,0,40.0,7.225,2,0,1,0,0,0
469,3,1,0.75,19.2583,2,3,2,0,1,1
777,3,1,5.0,12.475,0,0,2,0,0,1
327,2,1,36.0,13.0,0,0,3,1,0,1
609,1,1,40.0,153.4625,0,0,2,1,0,1
637,2,0,31.0,26.25,0,2,1,0,1,0
825,3,0,29.69911764705882,6.95,1,0,1,0,0,0
140,3,1,29.69911764705882,15.2458,2,2,3,0,1,0
366,1,1,60.0,75.25,2,1,3,1,1,1
282,3,0,16.0,9.5,0,0,1,0,0,0
701,1,0,35.0,26.2875,0,0,1,1,0,1
20,2,0,35.0,26.0,0,0,1,0,0,0
775,3,0,18.0,7.75,0,0,1,0,0,0
220,3,0,16.0,8.05,0,0,1,0,0,1
458,2,1,50.0,10.5,0,0,2,0,0,1
513,1,1,54.0,59.4,2,1,3,0,1,1
803,3,0,0.42,8.5167,2,1,4,0,1,1
577,1,1,39.0,55.9,0,1,3,1,1,1
580,2,1,25.0,30.0,0,2,2,0,1,1
235,3,1,29.69911764705882,7.55,0,0,2,0,0,0
746,3,0,16.0,20.25,0,2,1,0,1,0
642,3,1,2.0,27.9,0,5,2,0,1,0
113,3,1,20.0,9.825,0,1,2,0,1,0
78,2,0,0.83,29.0,0,2,4,0,1,1
35,1,0,42.0,52.0,0,1,1,0,1,0
678,3,1,43.0,46.9,0,7,3,0,1,0
135,2,0,23.0,15.0458,2,0,1,0,0,0
447,1,0,34.0,26.55,0,0,1,0,0,1
842,1,1,30.0,31.0,2,0,2,0,0,1
783,3,0,29.69911764705882,23.45,0,3,1,0,1,0
850,3,0,4.0,31.275,0,6,4,0,1,0
118,1,0,24.0,247.5208,2,1,1,1,1,0
147,3,1,9.0,34.375,0,4,2,0,1,0
419,3,1,10.0,24.15,0,2,2,0,1,0
67,3,0,19.0,8.1583,0,0,1,0,0,0
134,2,0,25.0,13.0,0,0,1,0,0,0
864,2,0,24.0,13.0,0,0,1,0,0,0
108,3,0,38.0,7.8958,0,0,1,0,0,0
313,3,0,28.0,7.8958,0,0,1,0,0,0
665,2,0,32.0,73.5,0,2,1,0,1,0
748,1,0,19.0,53.1,0,1,1,1,1,0
178,2,0,30.0,13.0,0,0,1,0,0,0
211,2,1,35.0,21.0,0,0,2,0,0,1
244,3,0,30.0,7.225,2,0,1,0,0,0
556,1,1,48.0,39.6,2,1,5,1,1,1
83,1,0,28.0,47.1,0,0,1,0,0,0
356,1,1,22.0,55.0,0,1,2,1,1,1
378,3,0,20.0,4.0125,2,0,1,0,0,0
188,3,0,40.0,15.5,1,2,1,0,1,0
805,3,0,31.0,7.775,0,0,1,0,0,0
100,3,1,28.0,7.8958,0,0,2,0,0,0
380,1,1,42.0,227.525,2,0,2,0,0,1
648,3,0,29.69911764705882,7.55,0,0,1,0,0,0
636,3,0,32.0,7.925,0,0,1,0,0,0
595,3,0,36.0,24.15,0,2,1,0,1,0
455,3,0,29.0,7.8958,2,0,1,0,0,1
793,1,0,29.69911764705882,30.6958,2,0,1,0,0,0
666,2,0,25.0,13.0,0,0,1,0,0,0
433,3,0,17.0,7.125,0,0,1,0,0,0
734,2,0,23.0,13.0,0,0,1,0,0,0
347,3,1,29.69911764705882,16.1,0,1,3,0,1,1
27,1,0,19.0,263.0,0,5,1,1,1,0
500,3,0,17.0,8.6625,0,0,1,0,0,0
299,1,1,50.0,247.5208,2,1,3,1,1,1
505,1,0,18.0,108.9,2,1,1,1,1,0
122,2,0,32.5,30.0708,2,1,1,0,1,0
215,1,1,31.0,113.275,2,1,2,1,1,1
542,3,1,11.0,31.275,0,6,2,0,1,0
534,3,1,30.0,8.6625,0,0,2,0,0,0
384,3,0,29.69911764705882,7.8958,0,0,1,0,0,0
152,3,0,55.5,8.05,0,0,1,0,0,0
280,3,0,65.0,7.75,1,0,1,0,0,0
315,3,1,26.0,7.8542,0,0,2,0,0,1
338,3,0,45.0,8.05,0,0,1,0,0,1
537,1,1,30.0,106.425,2,0,2,0,0,1
491,3,0,21.0,7.25,0,0,1,0,0,0
369,1,1,24.0,69.3,2,0,3,1,0,1
253,3,0,30.0,16.1,0,1,1,0,1,0
611,3,0,29.69911764705882,7.05,0,0,1,0,0,0
133,2,1,29.0,26.0,0,1,3,0,1,1
493,1,0,71.0,49.5042,2,0,1,0,0,0
624,3,0,21.0,16.1,0,0,1,0,0,0
673,2,0,31.0,13.0,0,0,1,0,0,1
497,3,0,29.69911764705882,15.1,0,0,1,0,0,0
492,1,0,55.0,30.5,0,0,1,1,0,0
831,2,0,0.83,18.75,0,2,4,0,1,1
663,3,0,36.0,7.4958,0,0,1,0,0,0
179,3,0,36.0,0.0,0,0,1,0,0,0
251,3,1,29.0,10.4625,0,2,3,1,1,0
149,2,0,42.0,13.0,0,0,5,0,0,0
200,3,0,28.0,9.5,0,0,1,0,0,0
55,1,0,29.69911764705882,35.5,0,0,1,1,0,1
788,3,0,1.0,20.575,0,3,4,0,1,1
400,3,0,39.0,7.925,0,0,1,0,0,1
774,2,1,54.0,23.0,0,4,3,0,1,1
222,3,0,51.0,8.05,0,0,1,0,0,0
606,3,0,30.0,7.8958,0,0,1,0,0,0
323,2,1,22.0,29.0,0,2,3,0,1,1
392,3,0,28.0,7.925,0,2,1,0,1,0
143,3,0,19.0,6.75,1,0,1,0,0,0
24,3,1,8.0,21.075,0,4,2,0,1,0
285,3,0,33.0,8.6625,2,0,1,0,0,0
22,3,1,15.0,8.0292,1,0,2,0,0,1
194,1,1,44.0,27.7208,2,0,3,1,0,1
373,1,0,22.0,135.6333,2,0,1,0,0,0
791,2,0,16.0,26.0,0,0,1,0,0,0
261,3,0,3.0,31.3875,0,6,4,0,1,1
144,2,0,18.0,11.5,0,0,1,0,0,0
758,3,0,34.0,8.05,0,0,1,0,0,0
485,3,1,29.69911764705882,25.4667,0,4,2,0,1,0
264,3,1,29.69911764705882,7.75,1,0,2,0,0,0
212,3,0,22.0,7.25,0,0,1,0,0,0
71,3,1,16.0,46.9,0,7,2,0,1,0
343,2,0,25.0,13.0,0,0,1,0,0,0
268,1,1,58.0,153.4625,0,1,3,1,1,1
245,1,0,44.0,90.0,1,2,5,1,1,0
396,3,1,31.0,7.8542,0,0,2,0,0,0
709,3,0,29.69911764705882,15.2458,2,2,4,0,1,1
387,2,1,36.0,13.0,0,0,2,0,0,1
424,3,0,18.0,20.2125,0,2,1,0,1,0
357,2,1,38.0,13.0,0,0,2,0,0,0
889,1,0,26.0,30.0,2,0,1,1,0,1
615,2,1,24.0,65.0,0,3,2,0,1,1
687,3,0,19.0,10.1708,0,0,1,0,0,0
186,3,1,29.69911764705882,15.5,1,1,3,0,1,1
105,3,0,28.0,7.8958,0,0,1,0,0,0
128,3,1,29.69911764705882,22.3583,2,2,2,1,1,1
530,2,1,2.0,26.0,0,2,2,0,1,1
157,3,0,30.0,8.05,0,0,1,0,0,0
353,3,0,25.0,17.8,0,1,1,0,1,0
752,3,0,33.0,9.5,0,0,1,0,0,0
650,3,0,29.69911764705882,7.8958,0,0,1,0,0,0
519,3,0,32.0,7.8958,0,0,1,0,0,0
484,1,0,25.0,91.0792,2,1,1,1,1,1
64,1,0,29.69911764705882,27.7208,2,0,1,0,0,0
764,3,0,16.0,7.775,0,0,1,0,0,0
482,3,0,50.0,8.05,0,0,1,0,0,0
664,3,0,20.0,7.925,0,1,1,0,1,1
77,3,0,29.69911764705882,8.05,0,0,1,0,0,0
633,1,0,29.69911764705882,0.0,0,0,1,0,0,0
116,3,0,70.5,7.75,1,0,1,0,0,0
328,3,1,31.0,20.525,0,2,3,0,1,1
780,3,1,13.0,7.2292,2,0,2,0,0,1
540,1,1,36.0,71.0,0,2,2,1,1,1
818,3,0,43.0,6.45,0,0,1,0,0,0
571,1,1,53.0,51.4792,0,2,3,1,1,1
348,3,0,3.0,15.9,0,2,4,0,1,1
669,1,1,29.69911764705882,52.0,0,1,3,1,1,1
499,3,0,24.0,7.7958,0,0,1,0,0,0
112,3,0,22.0,8.05,0,0,1,0,0,0
248,1,0,37.0,52.5542,0,2,1,1,1,1
555,1,0,62.0,26.55,0,0,1,0,0,0
74,3,0,32.0,56.4958,0,0,1,0,0,1
852,3,1,9.0,15.2458,2,2,2,0,1,0
53,2,1,29.0,26.0,0,1,3,0,1,1
30,1,0,40.0,27.7208,2,0,5,0,0,0
655,2,0,24.0,73.5,0,2,1,0,1,0
488,3,0,30.0,8.05,0,0,1,0,0,0
345,2,1,24.0,13.0,0,0,2,1,0,1
548,3,0,33.0,20.525,0,2,1,0,1,0
449,1,0,52.0,30.5,0,0,5,1,0,1
807,3,1,18.0,7.775,0,0,2,0,0,0
784,3,0,25.0,7.05,0,0,1,0,0,0
141,3,1,22.0,7.75,0,0,2,0,0,1
880,2,1,25.0,26.0,0,1,3,0,1,1
798,3,0,30.0,7.2292,2,0,1,0,0,0
70,2,0,32.0,10.5,0,0,1,0,0,0
761,3,0,41.0,7.125,0,0,1,0,0,0
183,2,0,1.0,39.0,0,3,4,1,1,1
79,3,1,30.0,12.475,0,0,2,0,0,1
279,3,1,35.0,20.25,0,2,3,0,1,1
138,3,0,16.0,9.2167,0,0,1,0,0,0
166,1,1,29.69911764705882,55.0,0,1,3,1,1,1
26,3,0,29.69911764705882,7.225,2,0,1,0,0,0
612,3,1,29.69911764705882,15.5,1,1,2,0,1,1
782,1,0,29.0,30.0,0,0,1,1,0,0
402,3,1,21.0,9.825,0,1,2,0,1,0
462,1,0,47.0,38.5,0,0,1,1,0,0
727,3,1,29.69911764705882,7.7375,1,0,2,0,0,1
835,1,1,39.0,83.1583,2,2,2,1,1,1
97,1,0,23.0,63.3583,2,1,1,1,1,1
563,3,0,29.69911764705882,8.05,0,0,1,0,0,0
747,2,1,30.0,13.0,0,0,2,0,0,1
704,3,0,26.0,7.8542,0,1,1,0,1,0
239,2,0,33.0,12.275,0,0,1,0,0,0
620,3,0,27.0,14.4542,2,1,1,0,1,0
63,3,0,4.0,27.9,0,5,4,0,1,0
38,3,1,18.0,18.0,0,2,2,0,1,0
801,2,1,31.0,26.25,0,2,3,0,1,1
694,1,0,60.0,26.55,0,0,5,0,0,0
